regional,municipio,localizacao,escola_indigena,codigo_escola,nome_escola,indice_bonus_gestao
TECNOLOGICAS,Barcarena,Urbana,False,15179524,ESCOLA ESTADUAL DE ENSINO PROFISSIONAL E TECNOLOGICO PROFª MARIA SIQUEIRA DOS SANTOS DIAS-EETEPA-,0.5
TECNOLOGICAS,Breves,Urbana,False,15175650,EETEPA BREVES,0.5
